timestamp_utc,tick_id,instrument,action,direction,position_side,price,quantity,notional_usdt,fee_usdt,status,client_oid,decided_by,reason,equity_before_usdt,equity_after_usdt,balance_change_usdt
2026-09-18T10:15:15.000Z,20260918T101515,NDX100USDT,OPEN_LONG,buy,long,29574.0,0.0405,1197.747,0.718648,filled,slm20260918T101515d,model,"Both index perps show extreme pre-market volume spikes (SP500 21.7x, NDX 14x) with positive candle returns (+0.051% and +0.039%), indicating coordinated buying pressure. Cross-section confirms: NVDA, ",49952.8138,49952.165,-0.6488
2026-09-18T12:25:15.000Z,20260918T122515,NDX100USDT,CLOSE,sell,long,29478.0,0.0405,1193.859,0.716315,filled,slm20260918T122515d,model,"Range expansion on both SP500USDT and NDX100USDT shows a decisive bearish candle (open at high, close near low) in pre-market. The cross-section confirms broad weakness: nearly all names are red on 30",49953.3256,49952.207,-1.1186
2026-09-18T13:20:15.000Z,20260918T132015,TSLAUSDT,OPEN_LONG,buy,long,368.38,3.25,1197.235,0.718341,filled,slm20260918T132015d,model,"TSLA volume spike of 7.1x median with positive candle return (+0.11%) signals strong buying interest in pre-market. Cross-section shows broad risk-on tone: AAPL +1.1%, META +1.1%, GOOGL +2.3%, COIN +3",49954.0688,49953.032,-1.0368
2026-09-18T13:25:15.000Z,20260918T132515,SP500USDT,OPEN_SHORT,sell,short,7628.2,0.1572,1199.153,0.719492,filled,slm20260918T132515d,model,"SP500USDT printed a 6.8x range expansion closing at the absolute low of the candle (7665.6→7642.2), a textbook bearish pre-market impulse. The 2h return is -0.214% and 24h is -0.105%, confirming susta",49950.176,49949.9484,-0.2276
2026-09-18T14:10:15.000Z,20260918T141015,TSLAUSDT,CLOSE,sell,long,362.51,3.25,1178.1575,0.706894,filled,slm20260918T141015d,model,"TSLA dropped -1.35% over 30m (evt-price_move), continuing a -1.19% 2h decline. Cross-section shows broad mega-cap weakness (GOOGL -1.11%, AAPL -0.59%, META -0.37%) but crypto-adjacent names (COIN +1.6",49940.4161,49935.6104,-4.8057
2026-09-18T15:05:15.000Z,20260918T150515,AMZNUSDT,OPEN_LONG,buy,long,255.47,4.7,1200.709,0.720425,filled,slm20260918T150515d,model,"AMZNUSDT +1.02% over 30m with +1.27% over 2h, showing sustained momentum into the regular session. Cross-section confirms broad mega-cap strength (META +0.97%, TSLA +1.21%, GOOGL +0.10% over 30m) whil",49946.0885,49945.5204,-0.5681
2026-09-18T15:35:15.000Z,20260918T153515,AMZNUSDT,CLOSE,sell,long,252.81,4.7,1188.207,0.712924,filled,slm20260918T153515d,model,"AMZN long is down -1.01% after 30 minutes. The METAUSDT -1.23% 30m drop and AAPL volume spike on a flat candle suggest selective mega-cap weakness. AMZN itself is -0.96% over 30m, confirming the move ",49931.8529,49930.7165,-1.1364
2026-09-19T01:30:15.000Z,20260919T013015,SP500USDT,CLOSE,buy,short,7658.7,0.1572,1203.9476,0.722369,filled,slm20260919T013015d,model,"SP500USDT short opened at 13:25 UTC yesterday is now down 0.38% against us. The index has been grinding higher (live 24h +0.29%, 2h +0.025%, 30m +0.012%) and the demo mark (7657.2) sits above our avg ",49940.0591,49939.7563,-0.3028
2026-09-21T14:25:15.000Z,20260921T142515,METAUSDT,OPEN_LONG,buy,long,712.27,1.68,1196.6136,0.717968,filled,slm20260921T142515d,model,"US regular session just opened. METAUSDT shows the strongest cross-sectional momentum: +6.0% over 24h, +4.74% over 2h, +0.86% over 30m with no pullback yet. This is a clear relative-strength leader. T",49934.4616,49933.1967,-1.2649
2026-09-22T10:10:15.000Z,20260922T101015,NDX100USDT,OPEN_LONG,buy,long,30563.0,0.0392,1198.0696,0.718842,filled,slm20260922T101015d,model,"NDX100USDT printed a 4.7x range expansion candle closing at the high (30556), indicating strong buying momentum into the US session open. Cross-section confirms broad strength: SP500 +0.87% 24h, NVDA ",49971.8228,49971.0726,-0.7502
2026-09-22T12:20:15.000Z,20260922T122015,METAUSDT,OPEN_LONG,buy,long,737.31,1.62,1194.4422,0.716665,filled,slm20260922T122015d,model,"META volume spike 13.3x median with positive candle return (+0.18%) in pre-market, confirmed by Shopify-Meta Muse partnership news (Yahoo Finance, evt-news-METAUSDT-2172d8e434db) which has explicit ma",49968.5336,49967.8663,-0.6673
2026-09-25T10:15:15.000Z,20260925T101515,NDX100USDT,CLOSE,sell,long,30657.0,0.0392,1201.7544,0.721053,filled,slm20260925T101515f0,risk_gate,max_holding_time,50043.6379,50042.6662,-0.9717
